"Code","Categorie","Nom fédération","Nom catégorie"
"FEDE|101",1,"Fédération française d'athlétisme","Fédération unisport olympique"
"FEDE|102",1,"Fédération française d'aviron","Fédération unisport olympique"
"FEDE|103",1,"Fédération française de badminton","Fédération unisport olympique"
"FEDE|105",1,"Fédération française de basketball","Fédération unisport olympique"
"FEDE|106",1,"Fédération française de boxe","Fédération unisport olympique"
"FEDE|107",1,"Fédération française de canoë-kayak","Fédération unisport olympique"
"FEDE|108",1,"Fédération française de cyclisme","Fédération unisport olympique"
"FEDE|109",1,"Fédération française d'équitation","Fédération unisport olympique"
"FEDE|110",1,"Fédération française d'escrime","Fédération unisport olympique"
"FEDE|111",1,"Fédération française de football","Fédération unisport olympique"
"FEDE|112",1,"Fédération française des sports de glace","Fédération unisport olympique"
"FEDE|113",1,"Fédération française de gymnastique","Fédération unisport olympique"
"FEDE|114",1,"Fédération française d'haltérophilie, musculation","Fédération unisport olympique"
"FEDE|115",1,"Fédération française de handball","Fédération unisport olympique"
"FEDE|116",1,"Fédération française de hockey","Fédération unisport olympique"
"FEDE|117",1,"Fédération française de judo-jujitsu et disciplines associées","Fédération unisport olympique"
"FEDE|118",1,"Fédération française de lutte et disciplines associées","Fédération unisport olympique"
"FEDE|119",1,"Fédération française de natation","Fédération unisport olympique"
"FEDE|121",1,"Fédération française de ski","Fédération unisport olympique"
"FEDE|122",1,"Fédération française de taekwondo et disciplines associées","Fédération unisport olympique"
"FEDE|123",1,"Fédération française de tennis","Fédération unisport olympique"
"FEDE|124",1,"Fédération française de tennis de table","Fédération unisport olympique"
"FEDE|125",1,"Fédération française de tir","Fédération unisport olympique"
"FEDE|126",1,"Fédération française de tir à l'arc","Fédération unisport olympique"
"FEDE|127",1,"Fédération française de triathlon","Fédération unisport olympique"
"FEDE|128",1,"Fédération française de voile","Fédération unisport olympique"
"FEDE|129",1,"Fédération française de volley-ball","Fédération unisport olympique"
"FEDE|131",1,"Fédération française de hockey sur glace","Fédération unisport olympique"
"FEDE|132",1,"Fédération française de golf","Fédération unisport olympique"
"FEDE|133",1,"Fédération française de rugby","Fédération unisport olympique"
"FEDE|201",2,"Fédération française d'aéromodélisme","Fédération unisport non olympique"
"FEDE|202",2,"Fédération française d'aéronautique","Fédération unisport non olympique"
"FEDE|203",2,"Fédération française d'aérostation","Fédération unisport non olympique"
"FEDE|204",2,"Fédération française d'aïkido, d'aïkibudo et affinitaires","Fédération unisport non olympique"
"FEDE|205",2,"Fédération française d'aïkido et de budo","Fédération unisport non olympique"
"FEDE|206",2,"Fédération française du sport automobile","Fédération unisport non olympique"
"FEDE|209",2,"Fédération française de ball-trap et de tir à balle","Fédération unisport non olympique"
"FEDE|210",2,"Fédération française de billard","Fédération unisport non olympique"
"FEDE|211",2,"Fédération française du sport boules","Fédération unisport non olympique"
"FEDE|212",2,"Fédération française de boxe française, savate et disciplines associées","Fédération unisport non olympique"
"FEDE|213",2,"Fédération française de bowling et de sports de quilles","Fédération unisport non olympique"
"FEDE|214",2,"Fédération française de char à voile","Fédération unisport non olympique"
"FEDE|215",2,"Fédération française de la course camarguaise","Fédération unisport non olympique"
"FEDE|216",2,"Fédération française de la course landaise","Fédération unisport non olympique"
"FEDE|217",2,"Fédération française de la course d'orientation","Fédération unisport non olympique"
"FEDE|218",2,"Fédération française de cyclotourisme","Fédération unisport non olympique"
"FEDE|219",2,"Fédération française de danse","Fédération unisport non olympique"
"FEDE|221",2,"Fédération française d'études et sports sous-marins","Fédération unisport non olympique"
"FEDE|222",2,"Fédération française de football américain","Fédération unisport non olympique"
"FEDE|226",2,"Fédération française de javelot tir sur cible","Fédération unisport non olympique"
"FEDE|228",2,"Fédération française de joutes et sauvetage nautique","Fédération unisport non olympique"
"FEDE|229",2,"Fédération française de karaté et disciplines associées","Fédération unisport non olympique"
"FEDE|232",2,"Fédération française de la montagne et de l'escalade","Fédération unisport non olympique"
"FEDE|233",2,"Fédération française de motocyclisme","Fédération unisport non olympique"
"FEDE|234",2,"Fédération française de motonautique","Fédération unisport non olympique"
"FEDE|237",2,"Fédération française de parachutisme","Fédération unisport non olympique"
"FEDE|241",2,"Fédération française de pelote basque","Fédération unisport non olympique"
"FEDE|242",2,"Fédération française de pétanque et jeu provençal","Fédération unisport non olympique"
"FEDE|243",2,"Fédération française de planeur ultra léger motorisé","Fédération unisport non olympique"
"FEDE|244",2,"Fédération française de pulka et traineau à chiens","Fédération unisport non olympique"
"FEDE|245",2,"Fédération française de la randonnée pédestre","Fédération unisport non olympique"
"FEDE|246",2,"Fédération française de roller et skateboard","Fédération unisport non olympique"
"FEDE|249",2,"Fédération française de sauvetage et secourisme","Fédération unisport non olympique"
"FEDE|250",2,"Fédération française de ski nautique et wake board","Fédération unisport non olympique"
"FEDE|252",2,"Fédération française de squash","Fédération unisport non olympique"
"FEDE|253",2,"Fédération française de surf","Fédération unisport non olympique"
"FEDE|254",2,"Fédération française des Arts Energétiques et Martiaux Chinois","Fédération unisport non olympique"
"FEDE|255",2,"Fédération française des sports de traîneau","Fédération unisport non olympique"
"FEDE|256",2,"Fédération française de twirling bâton","Fédération unisport non olympique"
"FEDE|257",2,"Fédération française de vol à voile","Fédération unisport non olympique"
"FEDE|258",2,"Fédération française de vol libre","Fédération unisport non olympique"
"FEDE|261",2,"Fédération française de kick-boxing, muay-thaï et disciplines associées","Fédération unisport non olympique"
"FEDE|262",2,"Fédération française de baseball et softball","Fédération unisport non olympique"
"FEDE|264",2,"Fédération Flying Disc France","Fédération unisport non olympique"
"FEDE|265",2,"Fédération nautique de pêche sportive en apnée","Fédération unisport non olympique"
"FEDE|266",2,"Fédération française de force","Fédération unisport non olympique"
"FEDE|267",2,"Fédération française des pêches sportives","Fédération unisport non olympique"
"FEDE|401",4,"Fédération française des clubs alpins et de montagne","Fédération multisports affinitaire"
"FEDE|402",4,"Fédération française d'éducation physique et de gymnastique volontaire","Fédération multisports affinitaire"
"FEDE|403",4,"Fédération française sport pour tous","Fédération multisports affinitaire"
"FEDE|404",4,"Fédération française de la retraite sportive","Fédération multisports affinitaire"
"FEDE|405",4,"Fédération française du sport travailliste","Fédération multisports affinitaire"
"FEDE|406",4,"Fédération des clubs de la défense","Fédération multisports affinitaire"
"FEDE|407",4,"Fédération nationale du sport en milieu rural","Fédération multisports affinitaire"
"FEDE|408",4,"Fédération sportive et culturelle de France","Fédération multisports affinitaire"
"FEDE|409",4,"Fédération française Maccabi","Fédération multisports affinitaire"
"FEDE|410",4,"Fédération sportive et gymnique du travail (FSGT)","Fédération multisports affinitaire"
"FEDE|413",4,"Union française des œuvres laïques d'éducation physique (UFOLEP)","Fédération multisports affinitaire"
"FEDE|415",4,"Fédération française omnisports des personnels de l'éducation nationale de la jeunesse et sports (2F OPEN-JS)","Fédération multisports affinitaire"
"FEDE|417",4,"Union nationale sportive Léo Lagrange","Fédération multisports affinitaire"
"FEDE|418",4,"Fédération française du sport d'entreprise","Fédération multisports affinitaire"
"FEDE|420",4,"Fédération sportive des ASPTT","Fédération multisports affinitaire"
"FEDE|501",5,"Fédération française handisport","Fédération multisports sport et handicap"
"FEDE|601",6,"Fédération française du sport universitaire","Fédération multisports scolaire ou universitaire"
"FEDE|603",6,"Union nationale des clubs universitaires","Fédération multisports scolaire ou universitaire"
"FEDE|604",6,"Union nationale du sport scolaire (UNSS)","Fédération multisports scolaire ou universitaire"
"FEDE|605",6,"Union sportive de l'enseignement du premier degré","Fédération multisports scolaire ou universitaire"
