UID,EMP
1,CE-1-6
7,CE-1-6
8,CE-1-6
10,CE-1-6
15,CE-1-6
17,CE-1-6
18,CE-1-6
19,CE-1-1
21,CE-1-5
25,CE-1-6
27,CE-2-2
29,CE-1-6
30,CE-1-6
31,CE-1-6
33,CE-2-1
41,CE-1-6
44,CE-2-2
45,CE-1-5
48,CE-1-5
50,CE-2-1
51,CE-1-6
53,CE-1-6
54,CE-1-5
57,CE-1-6
61,CE-1-6
62,CE-1-6
63,CE-1-6
65,CE-1-6
66,CE-2-1
68,CE-1-6
69,CE-1-6
77,CE-2-2
78,CE-1-6
79,CE-1-5
80,CE-1-6
82,CE-1-6
83,CE-1-6
84,CE-1-6
85,CE-1-5
87,CE-1-6
88,CE-1-6
91,CE-1-6
92,CE-1-6
97,CE-1-6
98,CE-1-6
102,CE-1-6
104,CE-1-6
105,CE-1-6
108,CE-1-6
113,CE-1-6
114,CE-1-6
115,CE-2-2
117,CE-2-1
120,CE-1-6
122,CE-1-6
124,CE-1-6
125,CE-1-5
127,CE-1-1
128,CE-1-6
131,CE-1-6
134,CE-1-6
135,CE-1-6
139,CE-1-6
140,CE-1-1
141,CE-1-6
145,CE-1-6
146,CE-2-1
147,CE-1-6
148,CE-1-6
149,CE-1-6
150,CE-1-6
152,CE-1-6
153,CE-2-1
155,CE-1-6
157,CE-1-6
159,CE-1-6
160,CE-1-6
161,CE-2-1
164,CE-1-6
165,CE-1-6
167,CE-1-6
168,CE-2-1
169,CE-1-6
170,CE-1-6
172,CE-1-6
173,CE-1-6
175,CE-2-2
176,CE-1-6
177,CE-1-6
181,CE-1-6
185,CE-1-6
189,CE-1-6
190,CE-1-6
192,CE-1-6
193,CE-2-1
197,CE-1-6
198,CE-2-2
200,CE-1-6
201,CE-1-5
203,CE-1-6
204,CE-1-6
205,CE-2-1
207,CE-1-6
209,CE-1-6
212,CE-1-6
216,CE-1-6
219,CE-1-6
221,CE-1-6
223,CE-1-6
228,CE-2-1
229,CE-1-6
