UID,Sports
8,FEDE|202
17,FEDE|111
19,FEDE|402
20,FEDE|123
22,FEDE|105
26,FEDE|113
46,FEDE|123
58,FEDE|124
62,FEDE|123
64,FEDE|604
70,FEDE|604
89,FEDE|402
94,FEDE|218
112,FEDE|604
117,FEDE|210
124,FEDE|132
131,FEDE|111
132,FEDE|402
135,FEDE|132
140,FEDE|229
144,FEDE|123
149,FEDE|117
155,FEDE|402
157,FEDE|211
159,FEDE|132
161,FEDE|111
167,FEDE|132
176,FEDE|402
179,FEDE|402
189,FEDE|402
195,FEDE|101
199,FEDE|109
216,FEDE|410
222,FEDE|258
227,FEDE|132
232,FEDE|123
235,FEDE|129
237,FEDE|264
244,FEDE|211
245,FEDE|604
247,FEDE|109
248,FEDE|119
251,FEDE|123
257,FEDE|111
269,FEDE|101
271,FEDE|604
277,FEDE|101
289,FEDE|111
293,FEDE|108
294,FEDE|404
312,FEDE|123
315,FEDE|211
323,FEDE|117
343,FEDE|111
346,FEDE|211
352,FEDE|125
353,FEDE|232
355,FEDE|211
356,FEDE|415
360,FEDE|402
362,FEDE|221
366,FEDE|201
370,FEDE|105
372,FEDE|113
373,FEDE|115
380,FEDE|133
381,FEDE|218
393,FEDE|123
398,FEDE|101
400,FEDE|249
401,FEDE|402
402,FEDE|117
420,FEDE|109
426,FEDE|111
432,FEDE|402
435,FEDE|105
438,FEDE|604
443,FEDE|420
449,FEDE|111
451,FEDE|111
462,FEDE|111
465,FEDE|109
485,FEDE|604
504,FEDE|101
510,FEDE|111
535,FEDE|108
546,FEDE|111
556,FEDE|601
557,FEDE|111
558,FEDE|229
559,FEDE|218
561,FEDE|111
571,FEDE|102
573,FEDE|113
579,FEDE|111
581,FEDE|111
584,FEDE|109
594,FEDE|122
597,FEDE|123
599,FEDE|604
612,FEDE|403
628,FEDE|404
629,FEDE|119
630,FEDE|119
639,FEDE|402
641,FEDE|242
660,FEDE|404
677,FEDE|111
678,FEDE|242
687,FEDE|601
689,FEDE|403
695,FEDE|111
703,FEDE|111
710,FEDE|403
711,FEDE|125
718,FEDE|111
725,FEDE|402
735,FEDE|249
748,FEDE|123
749,FEDE|111
758,FEDE|242
762,FEDE|133
783,FEDE|108
784,FEDE|132
793,FEDE|123
794,FEDE|420
796,FEDE|402
797,FEDE|125
806,FEDE|105
810,FEDE|123
815,FEDE|111
816,FEDE|245
817,FEDE|109
829,FEDE|401
834,FEDE|211
837,FEDE|123
838,FEDE|402
839,FEDE|101
