"UID","ECONOMIC_ACTIVITY","JOB_DEP","Work_desc","Terms_of_emp","Job_category","JOB_CONDITION","Employer_category","WORKING_HOURS","employee_count","EMOLUMENT"
1,"HZ","01","676c","CDI","O","P","ct_9",843,"tr_6",6914
7,"QB","01","563a","CDI","O","D","ct_7",137,"tr_1",377
8,"EZ","01","641a","CDI","O","C","ct_9",1977,"tr_2",25918
10,"CC","01","627d","CDI","O","C","ct_9",825,"tr_0",11779
15,"IZ","01","561d","CDI","O","Y","ct_9",385,"tr_3",2897
17,"PZ","01","421a","CDI","O","P","ct_8",1062,"tr_1",14223
18,"HZ","01","641b","CDI","O","P","ct_9",1784,"tr_4",16329
19,"GZ","01","683a","APP","A","C","ct_9",252,"tr_4",465
21,"SZ","01","563a","TOA","O","Y","ct_8",1050,"tr_3",8884
25,"CG","69","674a","CDI","O","C","ct_9",2028,"tr_3",18087
29,"HZ","31","388c","CDI","O","C","ct_9",2150,"tr_5",40434
30,"HZ","71","651b","CDI","O","C","ct_4",1854,"tr_3",27688
31,"HZ","01","642b","CDI","O","P","ct_5",697,"tr_5",9086
41,"CL","01","474c","CDI","O","C","ct_9",1820,"tr_4",46783
45,"OZ","01","532c","AUT","O","C","ct_1",790,"tr_6",8248
48,"NZ","01","684a","CDD","O","C","ct_9",405,"tr_2",8311
53,"CA","01","554a","CDI","O","P","ct_6",67,"tr_1",469
57,"FZ","01","543f","CDI","O","C","ct_9",1962,"tr_1",16331
61,"CB","01","477a","CDI","O","C","ct_9",1960,"tr_6",24964
62,"FZ","01","632j","CDI","O","C","ct_9",1743,"tr_3",23421
63,"IZ","01","561b","CDI","O","C","ct_9",2184,"tr_2",34415
65,"FZ","01","634b","CDI","O","C","ct_9",1761,"tr_2",22180
68,"MA","01","543b","CDI","O","C","ct_6",2028,"tr_1",24961
69,"CL","01","673c","CDI","O","C","ct_9",1826,"tr_4",14306
78,"QB","01","561b","CDI","O","C","ct_6",1556,"tr_4",15664
79,"NZ","01","681a","TTP","O","C","ct_9",1672,"tr_1",24689
80,"HZ","01","373b","CDI","O","C","ct_9",874,"tr_5",52229
85,"OZ","69","525a","AUT","O","C","ct_2",1810,"tr_6",22282
87,"HZ","71","641b","CDI","O","P","ct_9",1369,"tr_2",15079
88,"BZ","01","632b","CDI","O","C","ct_9",1599,"tr_2",15747
91,"GZ","01","634c","CDI","O","C","ct_6",514,"tr_1",12348
92,"GZ","01","551a","CDI","O","P","ct_9",259,"tr_2",2803
97,"KZ","69","467b","CDI","O","C","ct_9",2200,"tr_4",52275
98,"GZ","01","373d","CDI","O","P","ct_9",1787,"tr_3",30178
102,"FZ","95","382a","CDI","O","C","ct_9",1596,"tr_6",42673
104,"CM","01","482a","CDI","O","C","ct_9",1974,"tr_2",27655
105,"OZ","69","333e","CDI","O","P","ct_1",1456,"tr_4",35685
108,"GZ","01","433d","CDI","O","C","ct_6",1828,"tr_2",21146
113,"PZ","01","684a","CDI","O","C","ct_8",1801,"tr_2",15263
114,"SZ","01","562b","CDI","O","C","ct_9",1764,"tr_1",15824
120,"QA","01","525d","CDI","O","C","ct_8",1820,"tr_6",15929
122,"GZ","69","463a","CDI","O","C","ct_9",1820,"tr_1",20039
125,"QB","01","543b","AUT","X","P","ct_8",663,"tr_4",16189
